model_name,num_tasks,num_exclusive_gateways,num_parallel_gateways,num_events,num_pools,num_subprocesses,num_data_objects,total_elements
process_0.bpmn,10,7,1,16,3,0,6,37
process_1.bpmn,10,7,0,25,2,4,4,48
process_2.bpmn,12,5,0,2,1,0,24,20
process_3.bpmn,15,5,4,29,2,2,18,57
process_4.bpmn,10,3,0,22,3,1,10,39
process_5.bpmn,10,5,2,28,3,2,4,50
process_6.bpmn,14,5,4,3,1,1,12,28
process_7.bpmn,17,3,2,31,3,0,4,56
process_8.bpmn,10,4,2,13,2,0,2,31
process_9.bpmn,12,3,2,21,2,1,4,41
