model_name,task_type,sample_id,expected,returned,correct,reasoning_time,inferences
process_0.bpmn,projection,1,True,True,True,0.0,43
process_0.bpmn,verification,2,True,True,True,0.007,191568
process_0.bpmn,projection,3,False,False,True,0.0,80
process_0.bpmn,verification,4,False,False,True,4.191,62093331
process_1.bpmn,projection,5,True,True,True,0.0,43
process_1.bpmn,verification,6,True,True,True,0.008,49583
process_1.bpmn,projection,7,False,False,True,0.0,80
process_1.bpmn,verification,8,False,False,True,4.383,141181528
process_2.bpmn,projection,9,True,True,True,0.0,43
process_2.bpmn,verification,10,True,False,False,0.012,100411
process_2.bpmn,projection,11,False,False,True,0.0,80
process_2.bpmn,verification,12,False,False,True,0.012,100411
process_3.bpmn,projection,13,True,True,True,0.0,43
process_3.bpmn,verification,14,True,True,True,0.011,99552
process_3.bpmn,projection,15,False,False,True,0.0,69
process_3.bpmn,verification,16,False,False,True,4.288,100
process_4.bpmn,projection,17,True,True,True,0.0,43
process_4.bpmn,verification,18,True,True,True,0.009,51398
process_4.bpmn,projection,19,False,False,True,0.0,58
process_4.bpmn,verification,20,False,False,True,1.246,18828600
process_5.bpmn,projection,21,True,True,True,0.004,24361
process_5.bpmn,verification,22,True,True,True,0.006,37982
process_5.bpmn,projection,23,False,False,True,0.004,24368
process_5.bpmn,verification,24,False,False,True,0.007,40233
process_6.bpmn,projection,25,True,True,True,0.0,43
process_6.bpmn,verification,26,True,False,False,28.725,446343549
process_6.bpmn,projection,27,False,False,True,0.0,58
process_6.bpmn,verification,28,False,False,True,28.864,446460392
process_7.bpmn,projection,29,True,True,True,0.0,43
process_7.bpmn,verification,30,False,False,True,0.008,40235
process_7.bpmn,projection,31,False,True,False,0.0,43
process_7.bpmn,verification,32,False,False,True,6.975,53556683
process_8.bpmn,projection,33,True,True,True,0.0,43
process_8.bpmn,verification,34,True,False,False,0.063,871059
process_8.bpmn,projection,35,False,False,True,0.0,124
process_8.bpmn,verification,36,False,False,True,0.062,871113
process_9.bpmn,projection,37,True,True,True,0.0,43
process_9.bpmn,verification,38,True,True,True,0.003,20456
process_9.bpmn,projection,39,False,False,True,0.0,58
process_9.bpmn,verification,40,False,False,True,3.766,88199267
